segment_type,start_change_direction,end_change_direction,normalized_percent,segment_count,avg_knee_angle_deg,avg_torso_inclination_abs_deg,avg_neck_inclination_abs_deg
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,56,5,132.16,33.38,60.85
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,57,5,133.24,33.2,60.84
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,58,5,134.34,33.04,60.84
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,59,5,135.43,32.87,60.83
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,60,5,136.54,32.69,60.82
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,61,5,137.67,32.52,60.82
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,62,5,138.8,32.35,60.81
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,63,5,139.96,32.18,60.79
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,64,5,141.13,32.01,60.78
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,65,5,142.31,31.84,60.76
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,66,5,143.52,31.67,60.72
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,67,5,144.71,31.51,60.68
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,68,5,145.9,31.34,60.62
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,69,5,147.07,31.18,60.53
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,70,5,148.22,31.03,60.44
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,71,5,149.37,30.88,60.34
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,72,5,150.48,30.74,60.22
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,73,5,151.55,30.6,60.11
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,74,5,152.62,30.47,59.98
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,75,5,153.65,30.34,59.84
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,76,5,154.61,30.22,59.69
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,77,5,155.55,30.11,59.55
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,78,5,156.43,30.0,59.39
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,79,5,157.26,29.89,59.23
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,80,5,158.05,29.78,59.08
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,81,5,158.76,29.69,58.94
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,82,5,159.45,29.6,58.78
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,83,5,160.07,29.51,58.64
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,84,5,160.65,29.44,58.51
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,85,5,161.19,29.36,58.36
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,86,5,161.66,29.29,58.24
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,87,5,162.11,29.23,58.12
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,88,5,162.5,29.17,58.01
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,89,5,162.85,29.11,57.9
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,90,5,163.17,29.06,57.81
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,91,5,163.42,29.02,57.73
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,92,5,163.65,28.98,57.65
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,93,5,163.85,28.95,57.58
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,94,5,163.98,28.92,57.51
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,95,5,164.07,28.9,57.44
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,96,5,164.12,28.89,57.39
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,97,5,164.14,28.88,57.33
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,98,5,164.07,28.89,57.28
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,99,5,163.94,28.91,57.22
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,100,5,163.8,28.92,57.16
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,0,4,163.37,31.19,53.85
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,1,4,162.95,31.25,53.84
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,2,4,162.42,31.32,53.83
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,3,4,161.77,31.41,53.85
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,4,4,160.97,31.51,53.89
